item_id,campaign_name,platform,placement,objective,funnel_stage,target_region,audience_type,primary_text,caption,headline,description,CTA,creative_prompt,landing_page,compliance_status,risk_level,review_notes,human_approval,landing_page_checked,approval_status,human_approved,can_publish_automatically,dry_run,issue_category,issue_found,severity,explanation,recommended_fix,final_status,can_export_to_approved_ads_sheet,human_review_required
sample-community-awareness-fb-ad-01,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-02,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-03,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-04,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-05,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-06,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-07,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-08,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-09,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
sample-community-awareness-fb-ad-10,Sample Community Awareness,Facebook,Feed,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event for People interested in beginner-friendly wellness, social activities, and community events. Example Brand shares a friendly and professional way to learn more about Join next community session.",,Example Brand | Weekly wellness community event,"A clear, reviewable draft for people interested in learning more.",Learn More,"Facebook feed ad for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,No blocking issue found,None,LOW,"No local pre-check issue was detected, but human review is still required.","Human reviewer should confirm landing page, claims, CTA, and final suitability.",APPROVED_DRAFT,false,true
